File,Ground Truth,Prediction,Missed (FN),False Alarm (FP)
FS01_20230525_155100_9.pt,"Cicada, Frog, Wind","Cicada, Frog",Wind,
FS01_20230620_080000_1.pt,"Bird, Cicada",Cicada,Bird,
FS01_20230620_080000_10.pt,"Bird, Cicada",Cicada,Bird,
FS01_20230620_080000_2.pt,"Bird, Cicada",Cicada,Bird,
FS01_20230620_080000_3.pt,"Bird, Cicada",Cicada,Bird,
FS01_20230620_080000_4.pt,"Bird, Cicada",Cicada,Bird,
FS01_20230620_080000_5.pt,"Bird, Cicada",Cicada,Bird,
FS01_20230620_080000_6.pt,"Bird, Cicada",Cicada,Bird,
FS01_20230620_080000_7.pt,"Bird, Cicada",Cicada,Bird,
FS01_20230620_080000_8.pt,"Bird, Cicada",Cicada,Bird,
FS01_20230620_080000_9.pt,"Bird, Cicada",Cicada,Bird,
FS01_20230620_133300_1.pt,"Cicada, Frog",Cicada,Frog,
FS01_20230620_133300_10.pt,"Cicada, Frog",Cicada,Frog,
FS01_20230620_133300_2.pt,"Cicada, Frog",Cicada,Frog,
FS01_20230620_133300_3.pt,"Cicada, Frog",Cicada,Frog,
FS01_20230620_133300_4.pt,"Cicada, Frog",Cicada,Frog,
FS01_20230620_133300_5.pt,"Cicada, Frog",Cicada,Frog,
FS01_20230620_133300_6.pt,"Cicada, Frog",Cicada,Frog,
FS01_20230620_133300_7.pt,"Cicada, Frog",Cicada,Frog,
FS01_20230620_133300_8.pt,"Cicada, Frog",Cicada,Frog,
FS01_20230620_133300_9.pt,"Cicada, Frog",Cicada,Frog,
FS01_20230703_100900_10.pt,"Cicada, Speech",Cicada,Speech,
FS01_20230703_100900_3.pt,"Cicada, Speech",Cicada,Speech,
FS01_20230703_100900_4.pt,"Cicada, Speech",Cicada,Speech,
FS01_20230715_072400_1.pt,"Aircraft, Cicada, Frog",Cicada,"Aircraft, Frog",
FS01_20230715_072400_10.pt,"Aircraft, Cicada, Frog",Cicada,"Aircraft, Frog",
FS01_20230715_072400_2.pt,"Aircraft, Cicada, Frog","Cicada, Frog",Aircraft,
FS01_20230715_072400_3.pt,"Aircraft, Cicada, Frog",Cicada,"Aircraft, Frog",
FS01_20230715_072400_4.pt,"Aircraft, Cicada, Frog",Cicada,"Aircraft, Frog",
FS01_20230715_072400_5.pt,"Aircraft, Cicada, Frog",Cicada,"Aircraft, Frog",
FS01_20230715_072400_6.pt,"Aircraft, Cicada, Frog","Cicada, Speech","Aircraft, Frog",Speech
FS01_20230715_072400_7.pt,"Aircraft, Cicada, Frog","Cicada, Frog",Aircraft,
FS01_20230715_072400_8.pt,"Aircraft, Cicada, Frog",Cicada,"Aircraft, Frog",
FS01_20230715_072400_9.pt,"Aircraft, Cicada, Frog",Cicada,"Aircraft, Frog",
FS01_20230718_170000_1.pt,"Cicada, Frog, Rain","Cicada, Rain",Frog,
FS01_20230718_170000_10.pt,"Cicada, Frog, Rain","Cicada, Rain",Frog,
FS01_20230718_170000_2.pt,"Cicada, Frog, Rain","Cicada, Rain",Frog,
FS01_20230718_170000_3.pt,"Cicada, Frog, Rain","Cicada, Rain",Frog,
FS01_20230718_170000_4.pt,"Cicada, Frog, Rain","Cicada, Rain",Frog,
FS01_20230718_170000_5.pt,"Cicada, Frog, Rain","Cicada, Rain",Frog,
FS01_20230718_170000_6.pt,"Cicada, Frog, Rain","Cicada, Rain",Frog,
FS01_20230718_170000_7.pt,"Cicada, Frog, Rain",Rain,"Cicada, Frog",
FS01_20230718_170000_8.pt,"Cicada, Frog, Rain",Rain,"Cicada, Frog",
FS01_20230718_170000_9.pt,"Cicada, Frog, Rain","Cicada, Rain",Frog,
FS01_20230724_115100_1.pt,"Cicada, Speech, Wind","Cicada, Speech",Wind,
FS01_20230724_115100_3.pt,"Cicada, Speech, Wind","Cicada, Speech",Wind,
FS01_20230724_115100_8.pt,"Cicada, Speech, Wind","Cicada, Speech",Wind,
FS01_20230724_115100_9.pt,"Cicada, Speech, Wind","Cicada, Speech",Wind,
FS01_20230728_183600_1.pt,"Aircraft, Cicada, Frog","Cicada, Frog",Aircraft,
FS01_20230728_183600_10.pt,"Aircraft, Cicada, Frog","Cicada, Frog",Aircraft,
FS01_20230728_183600_2.pt,"Aircraft, Cicada, Frog","Cicada, Frog",Aircraft,
FS01_20230728_183600_3.pt,"Aircraft, Cicada, Frog","Cicada, Frog",Aircraft,
FS01_20230728_183600_4.pt,"Aircraft, Cicada, Frog","Cicada, Frog",Aircraft,
FS01_20230728_183600_5.pt,"Aircraft, Cicada, Frog","Cicada, Frog",Aircraft,
